file,fold,clock_hour_utc,origin_utc,origin_mid,actual_60,tfm_zero_shot_60,tfm_lora_60,autots_60,actual_120,tfm_zero_shot_120,tfm_lora_120,autots_120,actual_180,tfm_zero_shot_180,tfm_lora_180,autots_180
paths/path_fold3_20231016_040005.png,fold3,4,2023-10-16T04:00:05.665000+00:00,27238.355,27239.995000000003,27239.973266011693,27229.95723509011,27238.98596549032,27244.045,27238.270779383114,27221.765726111116,27238.626493867352,27244.045,27239.587415866128,27238.19531617963,27238.66254786993
paths/path_fold3_20231016_120006.png,fold3,12,2023-10-16T12:00:06.836000+00:00,27751.665,27744.395,27753.559015497085,27757.093030989407,27751.78643125838,27741.285,27749.394931214665,27754.1405089669,27751.689941192253,27734.975,27745.753620654254,27743.416135408912,27751.55748642437
paths/path_fold3_20231016_200000.png,fold3,20,2023-10-16T20:00:00.556000+00:00,28468.855,28486.675,28470.079746589272,28466.424311181705,28468.750377035904,28448.905,28460.249639772093,28437.60069407054,28470.348290819926,28439.315000000002,28470.832353413756,28480.059025888597,28465.327453357317
paths/path_fold3_20231017_040003.png,fold3,4,2023-10-17T04:00:03.359000+00:00,28268.535,28256.655,28270.715786188484,28283.754746282735,28267.696793009134,28163.995000000003,28264.942008986465,28270.497948026125,28268.546298541198,28189.325,28268.48982268995,28280.99703338622,28264.828836229448
paths/path_fold3_20231017_120014.png,fold3,12,2023-10-17T12:00:14.846000+00:00,28425.875,28428.985,28425.067776648782,28433.132921214587,28426.520633693064,28442.905,28424.07108585391,28470.205759324926,28425.959023449203,28447.125,28425.012673345635,28443.84515437935,28426.14328806773
paths/path_fold3_20231017_200001.png,fold3,20,2023-10-17T20:00:01.297000+00:00,28511.805,28507.945,28511.511981562595,28493.448843379312,28509.521029286938,28515.995000000003,28509.454378596736,28504.23369014706,28511.392179292387,28529.285,28506.668027934207,28492.098642666613,28511.750723067944
paths/path_fold4_20231018_040011.png,fold4,4,2023-10-18T04:00:11.429000+00:00,28520.254999999997,28505.004999999997,28520.094834259122,28519.010768834953,28520.438228051247,28490.004999999997,28520.11613651641,28521.89094283216,28521.596272466657,28500.535,28512.09641690643,28507.70037260855,28520.356860099397
paths/path_fold4_20231018_120000.png,fold4,12,2023-10-18T12:00:00.367000+00:00,28340.245000000003,28358.475,28342.74646123455,28341.723531811353,28340.158166237463,28363.445,28351.685148872526,28349.975376367893,28340.10253158836,28370.004999999997,28342.603156412013,28344.851851918324,28340.23603256414
paths/path_fold4_20231018_200001.png,fold4,20,2023-10-18T20:00:01.113000+00:00,28251.364999999998,28224.075,28259.02627531896,28270.42676183396,28252.03139292933,28244.525,28257.63971816944,28249.667229666094,28251.512631878788,28264.934999999998,28262.329147911532,28281.726033851788,28252.129476417682
paths/path_fold4_20231019_040040.png,fold4,4,2023-10-19T04:00:40.428000+00:00,28256.184999999998,28252.425,28254.979924770447,28249.027685886846,28256.006222440035,28257.715,28256.861135390194,28250.577464816935,28256.151209929845,28254.835,28254.07867078656,28244.937769621498,28255.93980152534
paths/path_fold4_20231019_120000.png,fold4,12,2023-10-19T12:00:00.287000+00:00,28450.975,28461.965,28446.777112830412,28448.038918770202,28451.139900259786,28469.995000000003,28446.115183162867,28432.988362298503,28451.153307964956,28470.015,28449.400338019015,28455.761866124394,28450.962149958334
paths/path_fold4_20231019_200001.png,fold4,20,2023-10-19T20:00:01.737000+00:00,28753.625,28740.055,28743.396449766235,28731.948525669777,28754.01317212854,28752.754999999997,28748.598584601128,28747.587627953773,28753.786376587857,28757.705,28745.164942553147,28730.831047603126,28753.275754907005
paths/path_fold5_20231020_040001.png,fold5,4,2023-10-20T04:00:01.161000+00:00,29240.004999999997,29240.364999999998,29238.13308625076,29223.62411250364,29240.856221568967,29270.325,29228.30231938295,29205.365580998885,29239.311082866912,29280.114999999998,29243.948986354146,29243.64504366552,29212.867338678523
paths/path_fold5_20231020_120002.png,fold5,12,2023-10-20T12:00:02.037000+00:00,29843.175,29862.295,29837.22533987703,29837.21447018015,29843.121563411125,29866.305,29816.109121805115,29821.13375141151,29845.206603157458,29879.995000000003,29834.773059098712,29877.761171497204,29828.30342955424
paths/path_fold5_20231020_200000.png,fold5,20,2023-10-20T20:00:00.709000+00:00,29560.655,29530.265,29562.270752946788,29527.338392749058,29560.402085453883,29518.315000000002,29564.064347244035,29528.47443183262,29558.913881543427,29535.254999999997,29553.290846525968,29525.74654851619,29575.789365623586
paths/path_fold5_20231021_040119.png,fold5,4,2023-10-21T04:01:19.129000+00:00,29605.295,29605.995000000003,29604.632455511633,29594.820604788067,29605.839139695658,29605.995000000003,29605.843630876025,29606.685229493538,29606.25519909248,29605.995000000003,29605.4536157056,29589.3822549832,29610.98060750999
paths/path_fold5_20231021_120002.png,fold5,12,2023-10-21T12:00:02.049000+00:00,29808.495000000003,29816.735,29805.275998416022,29806.506776134633,29808.708218229345,29814.035,29800.555319419796,29801.07582268459,29808.798675440976,29799.105,29808.972456959917,29816.96643066834,29809.248475715187
paths/path_fold5_20231021_200001.png,fold5,20,2023-10-21T20:00:01.871000+00:00,30148.765,30145.184999999998,30143.201476087695,30145.066836464892,30148.985074707907,30137.285,30141.590210646475,30138.340289627882,30149.810172625723,30125.004999999997,30136.304662150913,30125.718543695944,30160.525754882085
