model,horizon_seconds,n_folds,n_predictions,aggregation,RMSE,RMSE_min,RMSE_max,RMSE_defined_folds,MAE,MAE_min,MAE_max,MAE_defined_folds,R2,R2_min,R2_max,R2_defined_folds,rmse_gain_vs_e0,rmse_gain_vs_e0_min,rmse_gain_vs_e0_max,rmse_gain_vs_e0_defined_folds,r2_os_vs_e0,r2_os_vs_e0_min,r2_os_vs_e0_max,r2_os_vs_e0_defined_folds,pooled_RMSE,pooled_E0_RMSE,pooled_rmse_gain_vs_e0,pooled_r2_os_vs_e0,pooled_e0_gain_status,inference_n_predictions,inference_n_calls,inference_single_n,inference_mean_ms,inference_p50_ms,inference_p95_ms,inference_p99_ms,inference_upper_bound_ms,inference_upper_bound_kind,inference_batch_p95_ms,inference_batch_p99_ms,inference_batch_max_ms,inference_total_seconds,inference_amortized_ms_per_prediction,inference_scope,inference_warmup_calls
lstm,120,5,112747,equal_weight_fold_mean,46.7947115410195,17.014309552301487,90.4517133463704,5,25.927332763796564,11.686538192964218,40.091080513410866,5,0.9491251536125074,0.9227498367424714,0.9816946346269089,5,-0.4171737227695752,-0.8206187320300797,-0.07155303612569397,5,-1.0754212321799599,-2.314652567418815,-0.14822590923019274,5,60.40405576114853,49.99627044686895,-0.2081712339991426,-0.4596777306630111,defined,112747,10235,5120,0.3284523139200246,0.3257439821027219,0.34383895981591195,0.3506305278278887,1.182244042865932,observed_max_not_hard_bound,0.5333017033990473,0.5403408373240381,1.3575500342994928,4.119234686018899,0.03653520436037233,prepared input/context + scaling + transfers + predict + host log-return output,0
lstm,180,5,112747,equal_weight_fold_mean,56.90821928061833,20.62134947296291,113.0211018686241,5,30.547995982894992,14.851662862699218,47.77063937540503,5,0.9311174551748216,0.8966286355798606,0.9731917800977,5,-0.39202900880229896,-0.8389118635567299,-0.02281278334239123,5,-1.0076135346836073,-2.381596841929685,-0.0461459897686094,5,75.44014888207577,64.41485763152984,-0.17116068646170945,-0.3716173535134626,defined,112747,10235,5120,0.3269075685352618,0.3248020075261593,0.33598339941818267,0.3475439187604935,1.1996059911325574,observed_max_not_hard_bound,0.5339799856301397,0.5407389043830335,1.6372650279663503,4.100922356068622,0.03637278469554509,prepared input/context + scaling + transfers + predict + host log-return output,0
tfm_lora,60,5,112747,equal_weight_fold_mean,32.703347508735575,13.316101087153422,73.26292543620595,5,18.218084148337233,9.03934477875873,31.113453070857066,5,0.9747648250997896,0.9535534384863034,0.9910703368094714,5,-0.30867731651908326,-0.3943781050795785,-0.14322128397121348,5,-0.720948277037396,-0.944290299925316,-0.3069549041247899,5,44.45241008527858,33.51682231992753,-0.32627161551795636,-0.7589963981286099,defined,112747,10235,5120,93.50015192620731,93.34594151005149,94.67887545761187,95.44675683369861,111.59763601608574,observed_max_not_hard_bound,94.56825649249367,95.416523469612,111.59763601608574,955.7292459542514,8.476759877905854,prepared input/context + scaling + transfers + predict + host log-return output,0
tfm_lora,120,5,112747,equal_weight_fold_mean,46.92545412314995,18.597376212163745,111.20511072605325,5,26.46859220016403,13.080085715745351,47.18039272332668,5,0.9493518725564314,0.9035416236905421,0.9838549714815489,5,-0.34471580177267913,-0.4785732648612584,-0.24108640204467036,5,-0.8141724158459324,-1.186178899562481,-0.5402954573401852,5,65.8055762929848,49.99627044686895,-0.3162097033401001,-0.7324079831666344,defined,112747,10235,5120,93.43772338086183,93.29261898528785,94.53410507703667,95.57783313677646,103.29740698216484,observed_max_not_hard_bound,94.49042070191354,95.60571589274332,103.29740698216484,955.5811819345108,8.475446636580227,prepared input/context + scaling + transfers + predict + host log-return output,0
tfm_lora,180,5,112747,equal_weight_fold_mean,61.124619815200596,27.596930177462458,138.73954711564517,5,34.374720743507446,18.72135664203737,56.70102468299376,5,0.9186711853606349,0.8494877195819602,0.9634323396442258,5,-0.4721803105045206,-0.7956670188541843,-0.25555829839604605,5,-1.2080285635261983,-2.2244200426006735,-0.5764266406711747,5,84.16304808472782,64.41485763152984,-0.3065781898667368,-0.7071465662354386,defined,112747,10235,5120,93.34130896553461,93.26842299196868,94.23472612688782,95.37593170825858,111.1225740169175,observed_max_not_hard_bound,94.19311203528197,95.57846190524288,111.1225740169175,955.0286986153806,8.470546432413993,prepared input/context + scaling + transfers + predict + host log-return output,0
tfm_zero_shot,60,5,112747,equal_weight_fold_mean,25.316947147838565,10.202360874772449,53.647551998245575,5,14.417771581365608,6.47400814680369,24.413492742981383,5,0.9851833289701153,0.9750728307046714,0.9941424705117206,5,-0.025044078258368362,-0.051784552301585185,0.00954130582108681,5,-0.05112882535424246,-0.10625074446024607,0.01899157512540206,5,33.58720721081482,33.51682231992753,-0.002099986992067704,-0.004204383929502287,defined,112747,10235,5120,81.25534392991085,81.17207098985091,82.16306034009904,83.10101459501311,241.15539802005517,observed_max_not_hard_bound,82.06961147952825,83.01574964541942,241.15539802005517,830.3079345949809,7.3643461430901125,prepared input/context + scaling + transfers + predict + host log-return output,0
tfm_zero_shot,120,5,112747,equal_weight_fold_mean,35.95747881189639,13.054249294619492,83.06530435555561,5,20.134962978497185,8.754131054283418,35.2215932987007,5,0.9703384418701742,0.9461817248412705,0.9897370405113096,5,-0.029654559993977238,-0.06400218976355898,0.015951431035306496,5,-0.060894934167739036,-0.13210065982164854,0.0316484139185389,5,49.888689431305984,49.99627044686895,0.002151780814876769,0.0042989314690782265,defined,112747,10235,5120,81.57150909075881,81.43039952847175,82.52806326781865,83.65284953091759,98.35685201687738,observed_max_not_hard_bound,82.45996349141933,83.47212994471192,98.35685201687738,833.9635480126599,7.396769297743265,prepared input/context + scaling + transfers + predict + host log-return output,0
tfm_zero_shot,180,5,112747,equal_weight_fold_mean,44.90308540172509,16.542022401114142,106.69288495186548,5,24.599936628967015,10.956591390306084,42.570092115353276,5,0.9556495484906258,0.9109892812703906,0.9830579070098969,5,-0.040357666881929544,-0.09542799751313759,0.034456001435057115,5,-0.08436275698422446,-0.19996249773564245,0.06772478683522154,5,63.497740054699975,64.41485763152984,0.014237671409227048,0.028272631531297,defined,112747,10235,5120,81.6043464921222,81.468541524373,82.55976658547297,83.50436661625281,98.36217295378448,observed_max_not_hard_bound,82.50817799125798,83.37379478500225,98.47334900405258,834.4517815610743,7.401099643991187,prepared input/context + scaling + transfers + predict + host log-return output,0
xgb,60,5,112747,equal_weight_fold_mean,26.61237704250607,10.530466568624448,55.363178713903686,5,14.561905593798457,6.444728898812562,23.804843888146383,5,0.9841546646423491,0.9742152620841661,0.9929639572395499,5,-0.07569265388317029,-0.18638327864698703,-0.022133157098391143,5,-0.16061231047314434,-0.4075052838531743,-0.044756190839924326,5,35.26283533978167,33.51682231992753,-0.05209363236132458,-0.10690101125524598,defined,112747,10235,5120,1.906648104170472,1.8518015276640654,1.885733957169577,2.0205184927908704,222.69046999281272,observed_max_not_hard_bound,2.115434012375772,2.209849391365424,222.69046999281272,20.16264147515176,0.1788308467201057,prepared input/context + scaling + transfers + predict + host log-return output,0
xgb,120,5,112747,equal_weight_fold_mean,40.39042558491547,14.820048953246783,84.33483972918569,5,21.314343765513772,9.488098038649213,35.20785646116422,5,0.9655094978196486,0.9445240815237229,0.9861117022642332,5,-0.18489050566199988,-0.5421494320205298,0.0009116442390858515,5,-0.43981543260415146,-1.3782248706812426,0.0018224573829530577,5,54.37375528009526,49.99627044686895,-0.0875562275765802,-0.18277854814060235,defined,112747,10235,5120,1.8622882590875633,1.8470534996595234,1.9166314159519986,2.0193847123300657,12.574299005791543,observed_max_not_hard_bound,2.0865606784354895,2.106169988401234,12.574299005791543,19.830677586840466,0.1758865210324041,prepared input/context + scaling + transfers + predict + host log-return output,0
xgb,180,5,112747,equal_weight_fold_mean,50.148097427262535,17.349761344148057,113.08969336882463,5,26.07620244909571,11.473971860679324,44.28489365120937,5,0.9471257514671108,0.8999959833251989,0.9810232942756477,5,-0.1693578861721332,-0.3790347057800838,-0.0234335193118147,5,-0.3838193964012425,-0.9017367197459623,-0.047416168450966634,5,69.65418345823325,64.41485763152984,-0.08133722590328073,-0.16929019612420282,defined,112747,10235,5120,1.8936618819338946,1.8465719767846167,1.9020323583390566,2.0246622909326106,161.61655000178143,observed_max_not_hard_bound,2.0814163086470217,2.105888449586928,161.61655000178143,19.982840718817897,0.17723611908802803,prepared input/context + scaling + transfers + predict + host log-return output,0
xgbrf,60,5,112747,equal_weight_fold_mean,25.21248180868215,9.400476928406256,54.48185295962196,5,13.79177914570891,5.972162826063283,23.194624959923143,5,0.9856062950730683,0.9766656602474976,0.994392968209053,5,-0.004171994516631039,-0.04405580045143043,0.030883484820303675,5,-0.0089934774130076,-0.09005251445627716,0.060813180005961476,5,33.91151766854926,33.51682231992753,-0.011776037264340067,-0.023690749582331305,defined,112747,10235,5120,2.7589183446366405,2.7236304886173457,2.910396034712903,3.031977573409677,17.909444984979928,observed_max_not_hard_bound,3.0712513311300427,3.1166311248671263,17.909444984979928,29.432545042480342,0.26104947397696027,prepared input/context + scaling + transfers + predict + host log-return output,0
xgbrf,120,5,112747,equal_weight_fold_mean,36.65832207479575,12.473797787691463,85.37654684099324,5,19.645859499018723,8.19668192725339,34.191459467295736,5,0.9702059323535506,0.9431451361432149,0.9901610865376588,5,-0.0347581170520991,-0.12998719583744722,0.008278172697121722,5,-0.07322128708286431,-0.27687106275657736,0.016487817251040093,5,51.35669378699893,49.99627044686895,-0.027210496462445333,-0.055161404042623374,defined,112747,10235,5120,2.7551085051072732,2.7289360004942864,2.8823215165175498,2.977990941144526,18.035869987215847,observed_max_not_hard_bound,3.2226909999735653,3.2560635858681053,18.035869987215847,29.24907361099031,0.2594221896014112,prepared input/context + scaling + transfers + predict + host log-return output,0
xgbrf,180,5,112747,equal_weight_fold_mean,46.529058529594614,15.432041069073987,111.86869866555887,5,24.36814606015982,10.218310463089564,42.93968341860173,5,0.9535165786909119,0.9021437513369877,0.9849865482218835,5,-0.05705958685184283,-0.14621081612006903,-0.00412643736620999,5,-0.12098289035485292,-0.31379923499063467,-0.008269902217757252,5,66.54599940416543,64.41485763152984,-0.0330846306426118,-0.0672638540699817,defined,112747,10235,5120,2.708971626930179,2.7006125019397587,2.7643031120533124,2.886206181719899,18.034089996945116,observed_max_not_hard_bound,3.032660292228684,3.0733414692804217,18.034089996945116,28.758710629481357,0.2550729565263941,prepared input/context + scaling + transfers + predict + host log-return output,0
