model,fold,horizon_seconds,price,RMSE,MAE,R2,n,price_unit,rmse_gain_vs_e0,r2_os_vs_e0,e0_gain_status,inference_n_predictions,inference_n_calls,inference_single_n,inference_mean_ms,inference_p50_ms,inference_p95_ms,inference_p99_ms,inference_upper_bound_ms,inference_upper_bound_kind,inference_first_call_ms,inference_batch_p95_ms,inference_batch_p99_ms,inference_batch_max_ms,inference_total_seconds,inference_amortized_ms_per_prediction,inference_scope,inference_warmup_calls,inference_configured_batch_size,train_end,val_start,gap_days,duration_seconds,E0_RMSE,E0_MAE,E0_R2
lstm,fold1,120,L2 mid,26.3893183962643,18.407156038667516,0.9275328886811265,17447,USDT,-0.2642863002454845,-0.5984198489884154,defined,17447,2047,1024,0.32311697128761807,0.3204969980288297,0.3327106620417908,0.336650715325959,0.4217289970256388,observed_max_not_hard_bound,0.4217289970256388,0.44410701375454664,0.45125060016289353,0.7074069580994546,0.7781495582312346,0.04460076564631367,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,15.643548488616943,20.872897532101966,13.71167335358523,0.9546632811368456
lstm,fold1,180,L2 mid,31.460635348676018,21.594295970111066,0.8966286355798606,17447,USDT,-0.30614447262166866,-0.706013383360137,defined,17447,2047,1024,0.32358161860202017,0.3199210041202605,0.33203085768036544,0.3482544532744214,1.1996059911325574,observed_max_not_hard_bound,0.4179319948889315,0.4442657169420272,0.45437872293405235,1.1996059911325574,0.7784369394066744,0.04461723731338765,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,15.769929885864258,24.086642793449045,16.034201868516128,0.9394076474262231
tfm_lora,fold1,60,L2 mid,21.109538307375527,13.40027834897487,0.9535534384863034,17447,USDT,-0.3943781050795785,-0.944290299925316,defined,17447,2047,1024,93.0260561463001,92.83356947707944,94.04532453336287,95.32037564145867,96.70763398753479,observed_max_not_hard_bound,94.23428203444928,93.99699856294319,95.30902928556316,98.04876596899703,190.24907366145635,10.90440039327428,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,3026.63819026947,15.13903454914819,9.914673582851,0.9761113031755182
tfm_zero_shot,fold1,60,L2 mid,15.464590781075522,10.199470037150562,0.9750728307046714,17447,USDT,-0.02150442492686233,-0.04347129014515971,defined,17447,2047,1024,80.89574954607315,80.65886350232176,81.33065639412962,82.30556261783931,241.15539802005515,observed_max_not_hard_bound,241.15539802005515,81.2649484956637,82.40658776951022,241.15539802005515,165.2806738751242,9.473300502958915,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,166.8898344039917,15.13903454914819,9.914673582851,0.9761113031755182
tfm_zero_shot,fold1,120,L2 mid,21.732520934825267,14.278188793149907,0.9508521168574552,17447,USDT,-0.04118371210327765,-0.08406352234916104,defined,17447,2047,1024,81.18299044332389,81.03062250302173,81.91125089651905,83.32760138669983,84.6478629973717,observed_max_not_hard_bound,84.6478629973717,81.86684762476943,82.90084430132993,84.6478629973717,165.99657451175153,9.514333381770593,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,167.59945702552795,20.872897532101966,13.71167335358523,0.9546632811368456
tfm_zero_shot,fold1,180,L2 mid,24.965352432749008,16.554091196234655,0.9349060429021523,17447,USDT,-0.03648120025838342,-0.07429327848905909,defined,17447,2047,1024,81.38007077411658,81.34301850805059,82.1119604021078,83.37144151970278,84.72969697322696,observed_max_not_hard_bound,84.49861500412226,82.04122176975943,83.00349975470454,84.72969697322696,166.39911050151568,9.53740531332124,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,167.66589665412903,24.086642793449045,16.034201868516128,0.9394076474262231
xgb,fold1,60,L2 mid,15.728355308100436,10.118835683927188,0.9742152620841661,17447,USDT,-0.03892723522355679,-0.07936980008926375,defined,17447,2047,1024,2.0520293462595873,1.834711991250515,1.8616297224070877,1.887567185331136,222.69046999281272,observed_max_not_hard_bound,222.69046999281272,2.008849033154547,2.1306546172127128,222.69046999281272,4.133941789041273,0.2369428434138404,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,5.66439151763916,15.13903454914819,9.914673582851,0.9761113031755182
xgb,fold1,120,L2 mid,22.14303812964156,14.45672496263034,0.9489778189531756,17447,USDT,-0.06085118731532857,-0.12540524162834243,defined,17447,2047,1024,1.8513771472044027,1.8360494868829846,1.9442996708676163,2.0135130087146536,11.077230970840901,observed_max_not_hard_bound,11.077230970840901,2.0001609984319657,2.0208232244476676,11.077230970840901,3.916913402499631,0.224503548031159,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,4.9652485847473145,20.872897532101966,13.71167335358523,0.9546632811368456
xgb,fold1,180,L2 mid,25.80336167842242,17.183413164712235,0.9304626957589914,17447,USDT,-0.0712726509748498,-0.14762509272668245,defined,17447,2047,1024,1.8556336158894737,1.8385395233053714,1.9563938432838748,2.0473766594659537,11.032087029889226,observed_max_not_hard_bound,11.032087029889226,1.9969637272879481,2.0595253573264927,11.032087029889226,3.9205865954281762,0.2247140823882717,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,4.974070310592651,24.086642793449045,16.034201868516128,0.9394076474262231
xgbrf,fold1,60,L2 mid,14.962346542328634,9.746770019044295,0.9766656602474976,17447,USDT,0.011671022101571116,0.023205831446246883,defined,17447,2047,1024,2.687980573398363,2.676101983524859,2.6944884622935206,2.7098758140346035,15.839290979783982,observed_max_not_hard_bound,15.839290979783982,2.952514006756246,3.075082638533786,15.839290979783982,5.749114686565008,0.3295188104869037,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,10.846133470535278,15.13903454914819,9.914673582851,0.9761113031755182
xgbrf,fold1,120,L2 mid,20.93469340075514,13.683972304813347,0.9543944378551044,17447,USDT,-0.002960579313827205,-0.005929923657527869,defined,17447,2047,1024,2.682225001706229,2.665708016138524,2.7544664975721376,2.8236276109237224,15.19033801741898,observed_max_not_hard_bound,15.19033801741898,2.927924692630768,2.9597016097977757,15.19033801741898,5.716622760926839,0.3276564888477583,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,10.99463677406311,20.872897532101966,13.71167335358523,0.9546632811368456
xgbrf,fold1,180,L2 mid,24.3278562340108,16.188684222655496,0.9381879777782599,17447,USDT,-0.010014406849067292,-0.020129102042673264,defined,17447,2047,1024,2.6682856313300363,2.6540215185377747,2.708739886293187,2.8100974566768855,15.471578983124346,observed_max_not_hard_bound,15.471578983124346,2.9218277253676206,2.9590481834020466,15.471578983124346,5.690639837528579,0.3261672400715641,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,10.870815992355347,24.086642793449045,16.034201868516128,0.9394076474262231
