order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
11,dd_240,dd_240,B,-0.109799930292942,0.4,-1.30253189432882,-2.322081744028881,-0.109799930292942,-2.469103210523005,-0.11060322252194332,DROP,0.005,0,"[[45.613, 63.6777, 77.5416], [52.0578, 72.0113, 86.4151], [58.7074, 85.6553, 105.0095], [87.0977, 120.1224, 146.9441], [103.8031, 133.813, 153.9021]]","[[0.0469, 0.0294, 0.0332], [-0.0615, -0.1098, -0.1182], [-0.7461, -1.5362, -2.3221], [0.0125, 0.0592, 0.2088], [-0.3959, -0.7193, -0.9521]]",20260901_111012_loop_tfm_ext_dd_240
12,ru_240,ru_240,B,-0.42293540007170005,0.2,-1.0466640633313018,-1.5453445172599833,-0.42293540007170005,-2.2907896042644316,-0.05339193088134131,DROP,0.005,0,"[[45.6676, 63.823, 77.8145], [51.9984, 71.8617, 86.1939], [58.3863, 84.7162, 103.2306], [87.59, 121.2199, 148.8604], [103.9291, 134.1564, 154.8065]]","[[-0.0727, -0.1987, -0.3186], [0.0527, 0.0983, 0.1381], [-0.195, -0.4229, -0.5887], [-0.5526, -0.8539, -1.0926], [-0.5178, -0.9778, -1.5453]]",20260901_111356_loop_tfm_ext_ru_240
13,log_c_ema60,log_c_ema60,C,-0.5268523282507598,0.2,-2.1023677076756453,-2.8534268328378243,-0.5268523282507598,-2.381760400458899,-0.04144289583187799,DROP,0.005,0,"[[45.6832, 63.87, 77.8922], [52.0201, 71.9113, 86.2706], [58.5797, 85.2595, 104.2537], [88.4331, 123.1346, 151.4533], [103.8313, 133.8237, 153.6253]]","[[-0.1069, -0.2725, -0.4188], [0.011, 0.0292, 0.0493], [-0.5269, -1.067, -1.5856], [-1.5205, -2.4469, -2.8534], [-0.4232, -0.7274, -0.7705]]",20260901_111742_loop_tfm_ext_log_c_ema60
14,log_c_ema240,log_c_ema240,C,-0.5029604694642975,0.26666666666666666,-1.3047917219069571,-2.2619985740874204,-0.5029604694642975,-2.1444232260261042,-0.009282706049273948,DROP,0.005,0,"[[45.6313, 63.7393, 77.6611], [51.9842, 71.807, 86.0706], [58.6921, 85.6087, 104.9478], [87.5198, 121.0701, 148.384], [103.9138, 134.0002, 154.0371]]","[[0.0068, -0.0674, -0.1209], [0.08, 0.1743, 0.281], [-0.7198, -1.4809, -2.262], [-0.472, -0.7292, -0.769], [-0.503, -0.8602, -1.0406]]",20260901_112135_loop_tfm_ext_log_c_ema240
15,log_c_ema1440,log_c_ema1440,C,-0.4264254924996935,0.2,-1.39879543153548,-2.5858732993389477,-0.4264254924996935,-2.0567976629504825,-0.03418143032156706,DROP,0.005,0,"[[45.6367, 63.7449, 77.6138], [51.93, 71.691, 85.8781], [58.7563, 85.7885, 105.2802], [87.346, 120.8035, 148.2114], [103.8347, 133.8433, 153.9079]]","[[-0.0051, -0.0762, -0.0598], [0.1842, 0.3355, 0.504], [-0.83, -1.6941, -2.5859], [-0.2724, -0.5074, -0.6518], [-0.4264, -0.7421, -0.9559]]",20260901_112522_loop_tfm_ext_log_c_ema1440
16,log_ema60_ema240,log_ema60_ema240,C,-0.2421005581388691,0.4,-1.3209190399099713,-2.6272982657174593,-0.2421005581388691,-2.378968825323491,-0.004004804955903829,DROP,0.005,0,"[[45.6772, 63.8913, 77.9876], [52.0061, 71.904, 86.2682], [58.7306, 85.7747, 105.3227], [87.0841, 120.1485, 147.112], [103.6441, 133.469, 153.4508]]","[[-0.0936, -0.3059, -0.5418], [0.0379, 0.0394, 0.052], [-0.7858, -1.6777, -2.6273], [0.0282, 0.0375, 0.0948], [-0.2421, -0.4604, -0.6561]]",20260901_112905_loop_tfm_ext_log_ema60_ema240
17,hma_slope64_volnorm,hma_slope64_volnorm,C,-0.29737897147961156,0.0,-0.603658443205437,-0.834759302541177,-0.29737897147961156,-2.2990976418009623,-0.02630819611699753,DROP,0.005,0,"[[45.6739, 63.8165, 77.798], [52.0974, 72.1288, 86.6813], [58.3663, 84.6176, 102.9741], [87.546, 121.0005, 148.4808], [103.5251, 133.1865, 152.9211]]","[[-0.0865, -0.1886, -0.2974], [-0.1376, -0.2731, -0.4265], [-0.1607, -0.306, -0.3388], [-0.5021, -0.6714, -0.8348], [-0.127, -0.2477, -0.3086]]",20260901_113246_loop_tfm_ext_hma_slope64_volnorm
18,rsi240_centered,rsi240_centered,D,-0.3069644008973693,0.26666666666666666,-0.7748223505269536,-1.4420434284002859,-0.3069644008973693,-2.0685961329298896,-0.04237318029687298,DROP,0.005,0,"[[45.6182, 63.7115, 77.6227], [51.9937, 71.8499, 86.1571], [58.5272, 85.1635, 104.1063], [87.376, 120.766, 147.9986], [103.5746, 133.3191, 153.195]]","[[0.0355, -0.0238, -0.0714], [0.0618, 0.1147, 0.1807], [-0.4369, -0.9532, -1.442], [-0.307, -0.4763, -0.5073], [-0.1749, -0.3475, -0.4883]]",20260901_113636_loop_tfm_ext_rsi240_centered
19,macd_hist_60_240_60_volnorm,macd_hist_60_240_60_volnorm,D,-0.21213561473767406,0.06666666666666667,-0.42957482300190364,-0.5141412634325881,-0.21213561473767406,-2.2630189139184242,-0.018819026662786342,DROP,0.005,0,"[[45.6778, 63.8173, 77.7706], [52.0953, 72.1462, 86.6935], [58.3963, 84.7077, 103.154], [87.2764, 120.4946, 147.5738], [103.3912, 132.9088, 152.6027]]","[[-0.095, -0.1897, -0.262], [-0.1336, -0.2972, -0.4407], [-0.2121, -0.4128, -0.5141], [-0.1926, -0.2504, -0.2189], [0.0025, -0.0388, -0.0998]]",20260901_114016_loop_tfm_ext_macd_hist_60_240_60_volnorm
20,bb_pctb_20,bb_pctb_20,E,-0.18125093318916985,0.2,-0.473864835781157,-0.5430137827575177,-0.18125093318916985,-2.1034440019217726,-0.00889409811251074,DROP,0.005,0,"[[45.6464, 63.7992, 77.828], [52.0193, 71.9386, 86.2894], [58.3783, 84.6667, 103.1531], [87.4305, 120.6922, 148.0512], [103.3716, 132.9967, 152.7541]]","[[-0.0263, -0.1614, -0.336], [0.0126, -0.0087, 0.0275], [-0.1813, -0.3642, -0.5132], [-0.3694, -0.4148, -0.543], [0.0215, -0.1049, -0.1991]]",20260901_114400_loop_tfm_ext_bb_pctb_20
21,bb_pctb_60,bb_pctb_60,E,-0.20839086635120463,0.0,-0.6213748005863895,-0.7716051613775088,-0.20839086635120463,-2.1897980006982287,-0.02254320642509633,DROP,0.005,0,"[[45.6645, 63.8188, 77.8208], [52.0531, 72.0485, 86.5227], [58.3542, 84.5317, 102.8561], [87.5742, 121.0101, 148.3878], [103.4981, 133.1596, 152.7683]]","[[-0.0658, -0.1921, -0.3268], [-0.0524, -0.1614, -0.2428], [-0.1399, -0.2043, -0.2238], [-0.5344, -0.6793, -0.7716], [-0.1009, -0.2275, -0.2084]]",20260901_114745_loop_tfm_ext_bb_pctb_60
22,bb_logbw_20,bb_logbw_20,E,-0.4178107614047022,0.0,-0.6656384535559745,-0.7199547398647033,-0.4178107614047022,-2.2978564885738795,-0.006928532518291064,DROP,0.005,0,"[[45.686, 63.8403, 77.8378], [52.0945, 72.1247, 86.6783], [58.4173, 84.8131, 103.3653], [87.4735, 120.936, 148.2602], [103.5593, 133.4124, 153.4212]]","[[-0.1129, -0.2259, -0.3487], [-0.132, -0.2674, -0.4231], [-0.2482, -0.5378, -0.72], [-0.4189, -0.6177, -0.685], [-0.1602, -0.4178, -0.6367]]",20260901_115131_loop_tfm_ext_bb_logbw_20
23,log_atr14_c,log_atr14_c,F,-0.3296325923344279,0.0,-0.45993314782631245,-0.5932627550864433,-0.3296325923344279,-2.365992325061561,-0.007517217092911643,DROP,0.005,0,"[[45.6875, 63.8399, 77.8661], [52.1232, 72.1727, 86.6925], [58.4218, 84.7523, 103.2352], [87.2965, 120.5898, 147.916], [103.4982, 133.1961, 153.0205]]","[[-0.1163, -0.2253, -0.3852], [-0.1871, -0.3341, -0.4395], [-0.256, -0.4658, -0.5933], [-0.2156, -0.3296, -0.4512], [-0.1011, -0.255, -0.3738]]",20260901_115515_loop_tfm_ext_log_atr14_c
24,log_atr14_rv14,log_atr14_rv14,F,-0.07541308603307151,0.26666666666666666,-0.357239021334661,-0.4613772983937059,-0.07541308603307151,-1.9245258664888354,-0.015798915758269416,DROP,0.005,0,"[[45.617, 63.702, 77.6258], [51.7952, 71.4316, 85.6728], [58.3058, 84.4281, 102.6414], [87.2117, 120.5178, 147.931], [103.525, 133.205, 153.0841]]","[[0.0381, -0.0088, -0.0754], [0.4432, 0.6961, 0.7418], [-0.0569, -0.0814, -0.0146], [-0.1183, -0.2698, -0.4614], [-0.1269, -0.2617, -0.4156]]",20260901_115856_loop_tfm_ext_log_atr14_rv14
25,kcw_20,kcw_20,F,-0.30153956417562355,0.0,-0.4992544318080139,-0.6864653712600921,-0.30153956417562355,-2.332730789539883,0.002810695125177176,DROP,0.005,0,"[[45.6929, 63.8581, 77.9005], [52.1113, 72.1493, 86.6497], [58.4244, 84.7923, 103.3309], [87.3001, 120.6175, 147.9562], [103.4869, 133.163, 152.9557]]","[[-0.1282, -0.2539, -0.4295], [-0.1643, -0.3015, -0.39], [-0.2603, -0.5131, -0.6865], [-0.2198, -0.3527, -0.4785], [-0.0901, -0.2301, -0.3313]]",20260901_120241_loop_tfm_ext_kcw_20
26,mfi14_centered,mfi14_centered,G,-0.19087945130116246,0.0,-0.535529504211949,-0.8315229124054468,-0.19087945130116246,-2.1622732947427004,0.0024416130688487137,DROP,0.005,0,"[[45.6801, 63.818, 77.8024], [52.0281, 71.956, 86.3738], [58.4119, 84.6913, 103.1353], [87.4637, 120.869, 148.476], [103.4289, 132.9156, 152.5467]]","[[-0.1002, -0.1909, -0.3031], [-0.0043, -0.0329, -0.0703], [-0.239, -0.3934, -0.4959], [-0.4076, -0.562, -0.8315], [-0.034, -0.0439, -0.063]]",20260901_120626_loop_tfm_ext_mfi14_centered
27,mfi60_centered,mfi60_centered,G,-0.19882447454260266,0.0,-0.40613403882113097,-0.5035599068097918,-0.19882447454260266,-2.164809154664238,0.05255880919161626,DROP,0.005,0,"[[45.6859, 63.8706, 77.8647], [52.0385, 71.9732, 86.4139], [58.3787, 84.6787, 103.1432], [87.3377, 120.6538, 147.872], [103.4698, 133.0437, 152.7537]]","[[-0.1128, -0.2735, -0.3833], [-0.0245, -0.0568, -0.1168], [-0.182, -0.3784, -0.5036], [-0.263, -0.3829, -0.4213], [-0.0736, -0.1403, -0.1988]]",20260901_121016_loop_tfm_ext_mfi60_centered
28,ad_vwclv_5,ad_vwclv_5,H,-0.13320306638893165,0.0,-0.2795114166363666,-0.33547474903692365,-0.13320306638893165,-2.1316451408729176,-0.022779590834876018,DROP,0.005,0,"[[45.6506, 63.7455, 77.6707], [52.0753, 72.0581, 86.5095], [58.2779, 84.3998, 102.7348], [87.2662, 120.5364, 147.7456], [103.4449, 133.1017, 152.8637]]","[[-0.0355, -0.0771, -0.1332], [-0.0951, -0.1748, -0.2275], [-0.0089, -0.0479, -0.1056], [-0.1809, -0.2852, -0.3355], [-0.0494, -0.184, -0.2709]]",20260901_121406_loop_tfm_ext_ad_vwclv_5
29,ad_vwclv_15,ad_vwclv_15,H,-0.18651824421496155,0.0,-0.3417455238538958,-0.5501795575044932,-0.18651824421496155,-2.218206986174187,-0.020482399789578665,DROP,0.005,0,"[[45.7105, 63.904, 77.9941], [52.0335, 71.9974, 86.4741], [58.3446, 84.5741, 102.988], [87.2552, 120.4088, 147.5452], [103.4919, 133.1528, 152.8658]]","[[-0.1666, -0.3259, -0.5502], [-0.0148, -0.0904, -0.1865], [-0.1234, -0.2545, -0.3523], [-0.1682, -0.179, -0.1994], [-0.0949, -0.2224, -0.2723]]",20260901_121750_loop_tfm_ext_ad_vwclv_15
