col,base,lag,PI_h1,PI_h2,PI_h3,SA_gain_e0_h1,SA_gain_e0_h2,SA_gain_e0_h3,SA_gain_b0306_h1,SA_gain_b0306_h2,SA_gain_b0306_h3,MI_minus_null_h1,MI_minus_null_h2,MI_minus_null_h3,PI_plus,SA_plus,MI_plus,keep_R1,keep_R2,keep_R3,keep_R4
fine:t-16m:log_rv5_rv60,log_rv5_rv60,t-16m,0.0003238749048743254,0.0,0.0,0.00463391015356196,0.041077778996012615,-0.06303160807388242,-0.019954078019890353,0.056580319578480864,0.01270047399156704,0.013392087748793635,0.005324835611369316,0.018040282314546907,False,True,True,True,True,False,True
fine:t-16m:minute_mod5_sin,minute_mod5_sin,t-16m,0.0,0.0,0.0,0.051404649205533115,0.09464554424326588,0.08149447304595103,0.108636262325712,0.11979151757434137,0.10249786946482375,0.003931576338842113,-0.0018337304610618332,0.0033526851031364657,False,True,True,True,True,False,True
fine:t-16m:minute_mod5_cos,minute_mod5_cos,t-16m,0.0,0.0,0.0,0.031519816964042935,-0.004415912225086416,0.016109979057110646,0.008113003579623967,0.05419825143215817,0.07689036094835622,-0.001374275296146532,-0.0032712356329738235,0.010597533606359733,False,True,False,True,False,False,True
fine:t-16m:time_of_day_sin,time_of_day_sin,t-16m,0.0,0.0,0.0,-0.006635853907566158,-0.028840526427398316,-0.03684335338678402,0.003013000909124486,-0.01894917609126523,0.0020992170080114114,-0.005483977686419728,0.031813553793557325,0.026702463120667375,False,False,True,True,False,False,False
fine:t-16m:time_of_day_cos,time_of_day_cos,t-16m,0.0,0.0,0.0,-0.019015779956688128,-0.02318779530483539,-0.022329851457225658,-0.009365730698163155,0.03772738316504265,-0.006676912925307477,-0.012428647207921806,0.01942356879865148,0.043985887528733336,False,False,True,True,False,False,False
fine:t-16m:rsi15_centered,rsi15_centered,t-16m,0.00040955321810779804,-0.0005185444727828781,0.0,-0.010912095852022574,-0.009170199051888872,-0.02950191144768244,-0.0012628284543181323,0.05911132892973958,0.006185435836592035,0.014674850370098191,0.012010197591696858,0.018109672538390242,False,False,True,True,False,False,False
fine:t-16m:macd_hist_5_20_7_volnorm,macd_hist_5_20_7_volnorm,t-16m,-0.001156634300161367,0.0,0.0,-0.00855160610799821,-0.028070354570286504,-0.0364204154903458,0.0010974335445945727,0.053225451538363444,0.0061308309669771965,-0.0026529159074781816,-0.0014346487301928335,-0.00018687319891164123,False,False,False,False,False,False,False
fine:t-16m:macd_hist_acceleration,macd_hist_acceleration,t-16m,-0.0015540480164659698,0.0,0.0,-0.014053387753487634,-0.01403410771136926,-0.026405077209279426,-0.01663506169635731,0.04821214046368816,0.07119816159040226,0.0,0.0,-0.003646225128393077,False,False,False,False,False,False,False
fine:t-16m:ema_gap_8_32_volnorm,ema_gap_8_32_volnorm,t-16m,0.0002993818060682922,0.002605651283156855,0.0,-0.0014549729996815586,-0.010664770539947632,-0.06708128539081315,-0.025415705428066815,0.05669911977126407,0.02376084579165383,0.0,0.0033797032641738056,0.0006507664313879502,True,False,True,True,True,True,False
fine:t-16m:hma_slope16_volnorm,hma_slope16_volnorm,t-16m,-0.0003762193602104465,0.0,-0.00016664164170758036,-0.01564709510253337,-0.03509631324174478,-0.04205361165239285,-0.005997370861954288,0.04745500623108967,0.048457790312139704,-0.00023612146585527682,0.009682762310778692,0.0,False,False,False,False,False,False,False
fine:t-16m:sign_flip_rate8,sign_flip_rate8,t-16m,0.0,0.0,0.0,-0.01677711795791126,-0.0297016597526234,-0.030127335327656546,-0.009007244995329344,0.008669557957929896,0.07438248690153637,0.011069352312186531,0.01688050664380336,0.008165534640105498,False,False,True,True,False,False,False
fine:t-8m:return1,return1,t-8m,-0.0023757924208969903,0.0,0.0,-0.0027794639688050182,-0.04162712669255608,-0.015266668920688176,-0.011510990078944516,-0.01818506453705737,0.04404195965564961,0.03493533731003229,0.016226402343702873,0.014815459243846085,False,False,True,True,False,False,False
fine:t-8m:return5,return5,t-8m,0.0,0.0,0.0,-0.00023887401046085444,-0.00986977869474881,-0.023738978776255415,-0.013153610888005929,0.03172295312555695,-0.004444494798261367,0.036355801633919604,0.023904109826658804,0.011518034638000607,False,False,True,True,False,False,False
