file,figure_type,fold,origin_idx,timestamp_utc,actual_seed,selection_rule,units,source_metric,run_config_hash,phase_code_hash,visualizer_code_hash,git_revision,timeline,prediction_sources
path_022_fold4_2026-03-11_20260313T130600Z.png,forecast_path_overlay,fold4_2026-03-11,800437,2026-03-13T13:06:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_023_fold4_2026-03-11_20260314T010500Z.png,forecast_path_overlay,fold4_2026-03-11,801156,2026-03-14T01:05:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_024_fold4_2026-03-11_20260314T130400Z.png,forecast_path_overlay,fold4_2026-03-11,801875,2026-03-14T13:04:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_025_fold5_2026-08-01_20260801T223000Z.png,forecast_path_overlay,fold5_2026-08-01,1004041,2026-08-01T22:30:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_026_fold5_2026-08-01_20260802T102900Z.png,forecast_path_overlay,fold5_2026-08-01,1004760,2026-08-02T10:29:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_027_fold5_2026-08-01_20260802T222800Z.png,forecast_path_overlay,fold5_2026-08-01,1005479,2026-08-02T22:28:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_028_fold5_2026-08-01_20260803T102800Z.png,forecast_path_overlay,fold5_2026-08-01,1006199,2026-08-03T10:28:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_029_fold5_2026-08-01_20260803T222700Z.png,forecast_path_overlay,fold5_2026-08-01,1006918,2026-08-03T22:27:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_030_fold5_2026-08-01_20260804T102600Z.png,forecast_path_overlay,fold5_2026-08-01,1007637,2026-08-04T10:26:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
heatmap_rmse_gain_vs_e0.png,heatmap,all,,,all,all saved fold/horizon cells,ratio,rmse_gain_vs_e0,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
heatmap_r2_os_vs_e0.png,heatmap,all,,,all,all saved fold/horizon cells,ratio,r2_os_vs_e0,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
heatmap_rmse_usd.png,heatmap,all,,,all,all saved fold/horizon cells,USD,rmse_usd,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
heatmap_mae_usd.png,heatmap,all,,,all,all saved fold/horizon cells,USD,mae_usd,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
heatmap_r2.png,heatmap,all,,,all,all saved fold/horizon cells,ratio,r2,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
