record_type,model,fold,horizon_minutes,seed,n_origins,rmse_usd,mae_usd,r2,rmse_e0_saved_usd,rmse_gain_vs_e0,r2_os_vs_e0,aggregation
mean_over_eval_seeds,autots,fold1_2025-01-07,1,all,4317,73.35567914868169,51.2599722216976,0.9993574730113973,73.088929789322,-0.003649654744276587,-0.007312629468305465,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold1_2025-01-07,2,all,4317,104.64196642321923,73.86844859460525,0.9986915196562619,101.79853648464048,-0.027931933373204876,-0.056644059648375045,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold1_2025-01-07,3,all,4317,130.52353811361138,92.84288494644663,0.9979626963135463,124.67308166898866,-0.04692638030842855,-0.09605484578570822,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold2_2025-05-30,1,all,4309,47.57835840169158,31.914639544620858,0.9959732881953748,47.703468603224756,0.0026226646656197783,0.005238450961291385,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold2_2025-05-30,2,all,4309,68.38276512196184,46.716703170231575,0.9916768899515968,68.35523248430447,-0.0004027875651464452,-0.0008057373681156221,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold2_2025-05-30,3,all,4309,82.32905415364677,57.51806276440689,0.9879288703251743,82.1496112451706,-0.0021843427589769426,-0.004373456871242798,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold3_2025-10-19,1,all,4317,77.92328909163298,50.976069748897324,0.9974001204316042,77.7121588887322,-0.0027168232863414854,-0.00544102770145205,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold3_2025-10-19,2,all,4317,112.74044195230555,76.36114982032882,0.9945608284365134,108.93836980236009,-0.03490112948122248,-0.0710203478015099,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold3_2025-10-19,3,all,4317,144.92596841656817,97.05851773664261,0.9910171060412131,133.66494505420908,-0.08424814268088077,-0.17559403490693937,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold4_2026-03-11,1,all,4317,45.9687140287787,31.567156558120164,0.996905363568153,45.93481574241685,-0.0007379650013605854,-0.001476474595064392,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold4_2026-03-11,2,all,4317,65.97465979279873,45.028050834155444,0.993625403417386,65.86993983257041,-0.0015897989355160291,-0.003182125331687269,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold4_2026-03-11,3,all,4317,80.97035177404538,55.23468710126621,0.9903980454309712,80.56711274063696,-0.005005007870972689,-0.01003506584573377,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold5_2026-08-01,1,all,4300,25.271217656916736,16.036122613394365,0.9967005209142944,25.256956491416414,-0.0005646430719066231,-0.0011296049656119855,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold5_2026-08-01,2,all,4300,35.78546813993816,23.649147239256987,0.9933872255830845,35.74012664147736,-0.0012686440346347805,-0.0025388975269560188,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,autots,fold5_2026-08-01,3,all,4300,43.486324692980325,29.207857021831103,0.9902391435978665,43.41365554405294,-0.0016738776778111308,-0.003350557222102646,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold1_2025-01-07,1,all,4317,73.20653014143694,51.175456915526745,0.9993600831153585,73.088929789322,-0.0016090036131863883,-0.003220675774511387,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold1_2025-01-07,2,all,4317,102.04522128708022,72.66099430450339,0.9987556545006181,101.79853648464048,-0.0024232647242129848,-0.0048529092273772445,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold1_2025-01-07,3,all,4317,125.24710969814508,90.6681667406582,0.998124079309803,124.67308166898866,-0.004604265984861744,-0.00923194537545835,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold2_2025-05-30,1,all,4309,47.71175708823116,31.970987543197975,0.995950672562857,47.703468603224756,-0.00017375015379576345,-0.00034852986265473024,mean over seed-specific metrics; E0 reused from wins artifact
mean_over_eval_seeds,tfm,fold2_2025-05-30,2,all,4309,68.4210820761658,46.659630018779076,0.9916675527544122,68.35523248430447,-0.0009633438358424377,-0.0019284812053176708,mean over seed-specific metrics; E0 reused from wins artifact
