path_number,fold,origin_idx,timestamp_utc,horizon_minutes,actual_seed,origin_close_usd,actual_price_usd,e0_price_usd,tfm_price_usd,autots_price_usd,actual_delta_usd,e0_delta_usd,tfm_delta_usd,autots_delta_usd
15,fold3_2025-10-19,593954,2025-10-21T03:43:00+00:00,1,8587,109486.49,109492.59,109486.49,109489.38742869256,109484.6673362226,6.099999999991269,0.0,2.8974286925513297,-1.8226637774059782
15,fold3_2025-10-19,593954,2025-10-21T03:43:00+00:00,2,8587,109486.49,109433.85,109486.49,109490.65547443877,109482.84470278777,-52.63999999999942,0.0,4.16547443876334,-3.645297212235164
15,fold3_2025-10-19,593954,2025-10-21T03:43:00+00:00,3,8587,109486.49,109444.35,109486.49,109491.94231848876,109481.02209949588,-42.13999999999942,0.0,5.452318488751189,-5.467900504125282
16,fold3_2025-10-19,594674,2025-10-21T15:43:00+00:00,1,8587,113238.64,113338.05,113238.64,113220.10871349533,113226.58881748507,99.41000000000349,0.0,-18.531286504672607,-12.051182514929678
16,fold3_2025-10-19,594674,2025-10-21T15:43:00+00:00,2,8587,113238.64,113316.52,113238.64,113206.74401882503,113217.33185825305,77.88000000000466,0.0,-31.895981174966437,-21.30814174695115
16,fold3_2025-10-19,594674,2025-10-21T15:43:00+00:00,3,8587,113238.64,113459.16,113238.64,113202.44065317388,113207.72971343918,220.52000000000407,0.0,-36.199346826120745,-30.91028656081471
17,fold3_2025-10-19,595393,2025-10-22T03:42:00+00:00,1,8587,108039.99,108029.72,108039.99,108036.39789803942,108041.61911497971,-10.270000000004075,0.0,-3.5921019605884794,1.629114979703445
17,fold3_2025-10-19,595393,2025-10-22T03:42:00+00:00,2,8587,108039.99,108031.17,108039.99,108033.08990582434,108043.34624556519,-8.820000000006985,0.0,-6.900094175667618,3.3562455651845085
17,fold3_2025-10-19,595393,2025-10-22T03:42:00+00:00,3,8587,108039.99,108036.74,108039.99,108028.84109986105,108045.08303534401,-3.25,0.0,-11.148900138956378,5.0930353440053295
18,fold3_2025-10-19,596112,2025-10-22T15:41:00+00:00,1,8587,108366.83,108376.28,108366.83,108367.24554707289,108357.66249126359,9.44999999999709,0.0,0.41554707288742065,-9.167508736412856
18,fold3_2025-10-19,596112,2025-10-22T15:41:00+00:00,2,8587,108366.83,108403.17,108366.83,108366.87271708099,108346.87866125602,36.33999999999651,0.0,0.04271708098531235,-19.95133874398016
18,fold3_2025-10-19,596112,2025-10-22T15:41:00+00:00,3,8587,108366.83,108462.89,108366.83,108363.2217427952,108332.28799562046,96.05999999999767,0.0,-3.6082572048035217,-34.54200437954569
19,fold4_2026-03-11,798279,2026-03-12T01:08:00+00:00,1,8587,69976.73,69973.7,69976.73,69977.52019637918,69976.65034580952,-3.029999999998836,0.0,0.7901963791809976,-0.0796541904710466
19,fold4_2026-03-11,798279,2026-03-12T01:08:00+00:00,2,8587,69976.73,69972.0,69976.73,69978.90006807804,69976.65228354401,-4.7299999999959255,0.0,2.1700680780486437,-0.07771645598404575
19,fold4_2026-03-11,798279,2026-03-12T01:08:00+00:00,3,8587,69976.73,69915.68,69976.73,69980.38422594943,69976.65422127856,-61.05000000000291,0.0,3.6542259494308382,-0.07577872143883724
20,fold4_2026-03-11,798998,2026-03-12T13:07:00+00:00,1,8587,70490.13,70489.05,70490.13,70494.94626136382,70489.16713376442,-1.0800000000017462,0.0,4.816261363812373,-0.9628662355826236
20,fold4_2026-03-11,798998,2026-03-12T13:07:00+00:00,2,8587,70490.13,70422.25,70490.13,70500.43842169656,70488.2042806812,-67.88000000000466,0.0,10.308421696550795,-1.9257193188095698
20,fold4_2026-03-11,798998,2026-03-12T13:07:00+00:00,3,8587,70490.13,70428.51,70490.13,70505.3740002467,70487.24144075015,-61.620000000009895,0.0,15.24400024669012,-2.8885592498554615
21,fold4_2026-03-11,799717,2026-03-13T01:06:00+00:00,1,8587,71669.83,71619.15,71669.83,71670.12416489224,71671.37760768899,-50.68000000000757,0.0,0.2941648922424065,1.547607688989956
21,fold4_2026-03-11,799717,2026-03-13T01:06:00+00:00,2,8587,71669.83,71593.65,71669.83,71669.46881355658,71672.87774871067,-76.18000000000757,0.0,-0.3611864434205927,3.0477487106691115
21,fold4_2026-03-11,799717,2026-03-13T01:06:00+00:00,3,8587,71669.83,71634.33,71669.83,71667.50943538484,71674.18542488603,-35.5,0.0,-2.3205646151618566,4.35542488603096
22,fold4_2026-03-11,800437,2026-03-13T13:06:00+00:00,1,8587,72814.01,72799.99,72814.01,72819.98963831946,72811.70433715053,-14.019999999989523,0.0,5.979638319462538,-2.3056628494668985
22,fold4_2026-03-11,800437,2026-03-13T13:06:00+00:00,2,8587,72814.01,72703.24,72814.01,72823.67020158503,72808.82549197061,-110.76999999998952,0.0,9.660201585036702,-5.184508029386052
22,fold4_2026-03-11,800437,2026-03-13T13:06:00+00:00,3,8587,72814.01,72722.3,72814.01,72826.77934414464,72806.26545662098,-91.70999999999185,0.0,12.769344144646311,-7.744543379012612
23,fold4_2026-03-11,801156,2026-03-14T01:05:00+00:00,1,8587,70741.99,70730.04,70741.99,70742.98733899803,70741.67622754758,-11.950000000011642,0.0,0.9973389980295906,-0.3137724524276564
23,fold4_2026-03-11,801156,2026-03-14T01:05:00+00:00,2,8587,70741.99,70724.38,70741.99,70743.78389916582,70741.0496345256,-17.610000000000582,0.0,1.7938991658156738,-0.9403654744091909
23,fold4_2026-03-11,801156,2026-03-14T01:05:00+00:00,3,8587,70741.99,70744.14,70741.99,70744.52437100752,70740.42304705366,2.1499999999941792,0.0,2.5343710075103445,-1.566952946348465
24,fold4_2026-03-11,801875,2026-03-14T13:04:00+00:00,1,8587,70786.94,70745.13,70786.94,70787.94291674468,70786.76873018437,-41.80999999999767,0.0,1.00291674467735,-0.1712698156334227
24,fold4_2026-03-11,801875,2026-03-14T13:04:00+00:00,2,8587,70786.94,70758.18,70786.94,70791.71331469777,70786.59746078313,-28.760000000009313,0.0,4.77331469776982,-0.34253921687195543
24,fold4_2026-03-11,801875,2026-03-14T13:04:00+00:00,3,8587,70786.94,70751.0,70786.94,70794.6742074579,70786.42619178018,-35.94000000000233,0.0,7.734207457891898,-0.5138082198245684
25,fold5_2026-08-01,1004041,2026-08-01T22:30:00+00:00,1,8587,62847.33,62847.34,62847.33,62848.531327290504,62845.35841414272,0.00999999999476131,0.0,1.2013272905023769,-1.9715858572817524
25,fold5_2026-08-01,1004041,2026-08-01T22:30:00+00:00,2,8587,62847.33,62847.34,62847.33,62849.628502628184,62843.38689013613,0.00999999999476131,0.0,2.2985026281821774,-3.9431098638742696
